company,company_type,plastic_packaging_volume_in_tons
Colgate-Palmolive Company,packaged goods,287008
Danone S.A.,packaged goods,750000
Diageo,packaged goods,40000
Essity AB,packaged goods,not disclosed
H&M Group,packaged goods,not disclosed
Henkel AG & Co. KGaA,packaged goods,not disclosed
INDITEX,packaged goods,not disclosed
Johnson and Johnson Consumer Inc.,packaged goods,not disclosed
Kellogg Company ,packaged goods,not disclosed
L'Oréal,packaged goods,not disclosed
"Mars, Incorporated",packaged goods,129000
Nestlé,packaged goods,1700000
PepsiCo,packaged goods,not disclosed
Pernod Ricard,packaged goods,not disclosed
RB,packaged goods,not disclosed
SC Johnson,packaged goods,90000
Stanley Black & Decker,packaged goods,not disclosed
The Coca-Cola Company,packaged goods,3000000
Unilever,packaged goods,610000
Barilla G. e R. fratelli SpA,packaged goods,15000
Bella+Frank,packaged goods,4
Burberry Group plc,packaged goods,200
Delphis Eco,packaged goods,not disclosed
Earthwise Group Ltd,packaged goods,284
ecostore,packaged goods,not disclosed
GANNI,packaged goods,TBD
gDiapers,packaged goods,1
innocent drinks,packaged goods,not disclosed
Internet Fusion Group,packaged goods,not disclosed
IWC Schaffhausen (Watchmakers),packaged goods,not disclosed
L'OCCITANE en Provence,packaged goods,not disclosed
McCormick & Company Inc.,packaged goods,not disclosed
Meu Copo Eco,packaged goods,not disclosed
MYO Cosmetic Cases,packaged goods,not disclosed
New Zealand King Salmon Company Ltd,packaged goods,229
Ocean Remedy ,packaged goods,not disclosed
POSITIV.A,packaged goods,not disclosed
Preserve,packaged goods,19
"PROQUIMIA, S.A.",packaged goods,not disclosed
Spinlock,packaged goods,not disclosed
Splosh Ltd.,packaged goods,not disclosed
Stella McCartney,packaged goods,not disclosed
Superdry Plc,packaged goods,not disclosed
The Bio-D Company Ltd,packaged goods,not disclosed
The Make-Cup Brand Make-Cup Concepts LLC.,packaged goods,not disclosed
Werner & Mertz GmbH,packaged goods,6500
Ahold Delhaize,retail & hospitality,not disclosed
Carrefour,retail & hospitality,57000
Kesko Corporation,retail & hospitality,not disclosed
Marks and Spencer plc,retail & hospitality,not disclosed
Melco Resorts & Entertainment,retail & hospitality,not disclosed
METRO AG,retail & hospitality,not disclosed
S Group,retail & hospitality,not disclosed
Schwarz Group,retail & hospitality,not disclosed
Selfridges & Co,retail & hospitality,not disclosed
Sonae MC,retail & hospitality,not disclosed
Target Corporation,retail & hospitality,not disclosed
Walmart Inc.,retail & hospitality,not disclosed
Woolworths Holdings Limited,retail & hospitality,not disclosed
Algramo,retail & hospitality,50
Ecopod,retail & hospitality,>1
Life Without Plastic,retail & hospitality,0
MIWA (MInimum WAste),retail & hospitality,0
Zero Waste Shop Moscow,retail & hospitality,0
ALBEA,packaging producers,not disclosed
ALPLA Werke Alwin Lehner GmbH & Co KG,packaging producers,not disclosed
Amcor,packaging producers,not disclosed
AptarGroup Inc.,packaging producers,not disclosed
Arca Continental,packaging producers,not disclosed
Coca-Cola FEMSA,packaging producers,not disclosed
Constantia Flexibles,packaging producers,not disclosed
Greiner AG,packaging producers,not disclosed
Logoplaste,packaging producers,not disclosed
Mondi,packaging producers,not disclosed
Sealed Air Corporation,packaging producers,not disclosed
Swire Beverages Ltd,packaging producers,not disclosed
TC Transcontinental,packaging producers,330000
Tetra Pak,packaging producers,721000
ValGroup,packaging producers,not disclosed
Bell Holdings,packaging producers,not disclosed
BioPak Pty Ltd,packaging producers,not disclosed
CupClub Limited,packaging producers,not disclosed
Custompak Plastic Products 1997 ltd,packaging producers,not disclosed
Detpak,packaging producers,not disclosed
Dynapack Asia,packaging producers,not disclosed
Envases Universales de México,packaging producers,not disclosed
EXCELRISE,packaging producers,50000
Futamura Group,packaging producers,not disclosed
Greco & Guerreiro,packaging producers,not disclosed
Hi-Cone,packaging producers,not disclosed
Koepala Packaging Ltd.,packaging producers,0.5
